Bank Name,"City, State",Date,Assets,Assets (adj.),Acquirer
The First National Bank of Davis,"Davis, OK",2011-03-11,90.2,122.05142257650888,"The Pauls Valley National Bank, Pauls Valley, OK has agreed to assume all deposits excluding certain brokered deposits."
Valley Community Bank,"St. Charles, IL",2011-02-25,123.8,167.51625404625054,"First State Bank, Mendota, IL has agreed to assume all deposits excluding certain brokered deposits."
San Luis Trust Bank,"FSB, San Luis Obispo, CA",2011-02-18,332.6,450.0477067510738,"First California Bank, Westlake Village, CA has agreed to assume all deposits excluding certain brokered deposits."
Charter Oak Bank,"Napa, CA",2011-02-18,120.8,163.45689409359503,"Bank of Marin, Novato, CA has agreed to assume all deposits excluding certain brokered deposits."
Citizens Bank of Effingham,"Springfield, GA",2011-02-18,214.3,289.973612618025,"Heritage Bank of the South, Albany, GA has agreed to assume all deposits excluding certain brokered deposits."
Habersham Bank,"Clarkesville, GA",2011-02-18,387.6,524.4693058830914,"SCBT National Association, Orangeburg, SC has agreed to assume all deposits."
Canyon National Bank,"Palm Springs, CA",2011-02-11,210.9,286.84939566828,"Pacific Premier Bank, Costa Mesa, CA has agreed to assume all deposits excluding certain brokered deposits."
Badger State Bank,"Cassville, WI",2011-02-11,83.8,113.97809083452756,"Royal Bank, Elroy, WI has agreed to assume all deposits excluding certain brokered deposits."
Peoples State Bank,"Hamtramck, MI",2011-02-11,390.5,531.127022325573,"First Michigan Bank, Troy, MI has agreed to assume all deposits."
Sunshine State Community Bank,"Port Orange, FL",2011-02-11,125.5,170.69511216865408,"Premier American Bank, National Association, Miami, FL has agreed to assume all deposits."
Community First Bank - Chicago,"Chicago, IL",2011-02-04,51.1,69.50215324157946,"Northbrook Bank & Trust Company, Northbrook, IL has agreed to assume all deposits."
North Georgia Bank,"Watkinsville, GA",2011-02-04,153.2,208.37044768316971,"BankSouth, Greensboro, GA has agreed to assume all deposits excluding certain brokered deposits."
American Trust Bank,"Roswell, GA",2011-02-04,238.2,323.9806830165211,"Renasant Bank, Tupelo, MS has agreed to assume all deposits."
First Community Bank,"Taos, NM",2011-01-28,2310,3141.878160235784,"U.S. Bank, National Association, Minneapolis, MN has agreed to assume all deposits excluding certain brokered deposits."
FirsTier Bank,"Louisville, CO",2011-01-28,781.5,1062.9341048589893,"To protect the insured depositors, the FDIC created Deposit Insurance National Bank of Louisville - a new depository institution chartered by the Office of Thrift Supervision (OTS), which will remain open until February 28, 2011."
Evergreen State Bank,"Stoughton, WI",2011-01-28,246.5,335.26968246671896,"McFarland State Bank, McFarland, WI has agreed to assume all deposits excluding certain brokered deposits."
The First State Bank,"Camargo, OK",2011-01-28,43.5,59.165238082362166,"Bank 7, Oklahoma City, OK has agreed to assume all deposits excluding certain brokered deposits."
United Western Bank,"Denver, CO",2011-01-21,2050,2788.2468521572973,"First-Citizens Bank & Trust Co., Raleigh, NC has agreed to assume all deposits."
The Bank of Asheville,"Asheville, NC",2011-01-21,195.1,265.3594931004335,"First Bank, Troy, NC has agreed to assume all deposits."
CommunitySouth Bank and Trust,"Easley, SC",2011-01-21,440.6,599.269055151466,"CertusBank, National Association, Charlotte, NC has agreed to assume all deposits excluding certain brokered deposits."
Enterprise Banking Company,"McDonough, GA",2011-01-21,100.9,137.2361499427665,"To protect the insured depositors, the FDIC created Deposit Insurance National Bank of McDonough - a new depository institution chartered by the Office of Thrift Supervision (OTS), which will remain open until January 28, 2011."
Oglethorpe Bank,"Brunswick, GA",2011-01-14,230.6,314.65196779195884,"Bank of the Ozarks, Little Rock, AR has agreed to assume all deposits excluding certain brokered deposits."
Legacy Bank,"Scottsdale, AZ",2011-01-07,150.6,205.49256873143537,"Enterprise Bank & Trust, Clayton, MO has agreed to assume all deposits."
First Commercial Bank of Florida,"Orlando, FL",2011-01-07,598.5,816.648754221541,"First Southern Bank, Boca Raton, FL has agreed to assume all deposits excluding certain brokered deposits."
Community National Bank,"Lino Lakes, MN",2010-12-17,31.6,43.11796262890676,"Farmers & Merchants Savings Bank, Manchester, IA, has agreed to assume all deposits."
First Southern Bank,"Batesville, AR",2010-12-17,191.8,261.709659247605,"Southern Bank, Poplar Bluff, MO has agreed to assume all deposits excluding certain brokered deposits."
United Americas Bank,"National Association, Atlanta, GA",2010-12-17,242.3,330.61652990456037,"State Bank and Trust Company, Macon, GA has agreed to assume all deposits excluding certain brokered deposits."
Appalachian Community Bank,"FSB, McCaysville, GA",2010-12-17,68.2,93.05838769909624,"Peoples Bank of East Tennessee, Madisonville, TN has agreed to assume all deposits excluding certain brokered deposits."
Chestatee State Bank,"Dawsonville, GA",2010-12-17,244.4,333.4819641298991,"Bank of the Ozarks, Little Rock, AR has agreed to assume all deposits."
The Bank of Miami,"National Association, Coral Gables, FL",2010-12-17,448.2,611.5655332365826,"1st United Bank, Boca Raton, FL has agreed to assume all deposits excluding certain brokered deposits."
Earthstar Bank,"Southampton, PA",2010-12-10,112.6,154.1401211945281,"Polonia Bank, Huntingdon Valley, PA has agreed to assume all deposits."
Paramount Bank,"Farmington Hills, MI",2010-12-10,252.7,345.92547625095244,"Level One Bank, Farmington Hills, MI has agreed to assume all deposits excluding certain brokered deposits."
First Banking Center,"Burlington, WI",2010-11-19,750.7,1027.6464385500199,"First Michigan Bank, Troy, MI has agreed to assume all deposits excluding certain brokered deposits."
Allegiance Bank of North America,"Bala Cynwyd, PA",2010-11-19,106.6,145.9266156246598,"VIST Bank, Wyomissing, PA has agreed to assume all deposits excluding certain brokered deposits."
Gulf State Community Bank,"Carrabelle, FL",2010-11-19,112.1,153.45566239703905,"Centennial Bank, Conway, AR has agreed to assume all deposits excluding certain brokered deposits."
Copper Star Bank,"Scottsdale, AZ",2010-11-12,204,280.38085523020175,"Stearns Bank National Association, Saint Cloud, MN has agreed to assume all deposits excluding certain brokered deposits."
Darby Bank & Trust Co.,"Vidalia, GA",2010-11-12,654.7,899.830127054966,"Ameris Bank, Moultrie, GA has agreed to assume all deposits excluding certain brokered deposits."
Tifton Banking Company,"Tifton, GA",2010-11-12,143.7,197.5035730224509,"Ameris Bank, Moultrie, GA has agreed to assume all deposits including certain brokered deposits."
First Vietnamese American Bank,"Westminster, CA",2010-11-05,48,65.97196593651805,"Grandpoint Bank, Los Angeles, CA has agreed to assume all deposits excluding certain brokered deposits."
Pierce Commercial Bank,"Tacoma, WA",2010-11-05,221.1,303.88336809508627,"Heritage Bank, Olympia, WA has agreed to assume all deposits."
Western Commercial Bank,"Woodland Hills, CA",2010-11-05,98.6,135.51741336126415,"First California Bank, Westlake Village, CA has agreed to assume all deposits."
K Bank,"Randallstown, MD",2010-11-05,538.3,739.8481096589097,"Manufacturers and Traders Trust Company, Buffalo, NY has agreed to assume all deposits excluding certain brokered deposits."
First Arizona Savings,"A FSB, Scottsdale, AZ",2010-10-22,272.2,374.11602349833777,"The FDIC has approved the payout of the insured deposits of First Arizona Savings, A FSB."
Hillcrest Bank,"Overland Park, KS",2010-10-22,1650,2267.786329067808,"Hillcrest Bank, National Association, Overland Park, KS has agreed to assume all deposits excluding certain brokered deposits."
First Suburban National Bank,"Maywood, IL",2010-10-22,148.7,204.37565280750488,"Seaway Bank and Trust Company, Chicago, IL has agreed to assume all deposits excluding certain brokered deposits."
The First National Bank of Barnesville,"Barnesville, GA",2010-10-22,131.4,180.59825675121817,"United Bank, Zebulon, GA has agreed to assume all deposits excluding certain brokered deposits."
The Gordon Bank,"Gordon, GA",2010-10-22,29.4,40.40782913611731,"Morris Bank, Dublin, GA has agreed to assume all deposits."
Progress Bank of Florida,"Tampa, FL",2010-10-22,110.7,152.14784644109477,"Bay Cities Bank, Tampa, FL has agreed to assume all deposits excluding certain brokered deposits."
First Bank of Jacksonville,"Jacksonville, FL",2010-10-22,81,111.32769251787421,"Ameris Bank, Moultrie, GA has agreed to assume all deposits."
Premier Bank,"Jefferson City, MO",2010-10-15,1180,1625.9202410573653,"Providence Bank, Columbia, MO has agreed to assume all deposits excluding certain brokered deposits."
WestBridge Bank and Trust Company,"Chesterfield, MO",2010-10-15,91.5,126.07771360741435,"Midland States Bank, Effingham, IL has agreed to assume all deposits excluding certain brokered deposits."
Security Savings Bank,"F.S.B., Olathe, KS",2010-10-15,508.4,700.5236021640377,"Simmons First National Bank, Pine Bluff, AR has agreed to assume all deposits."
Shoreline Bank,"Shoreline, WA",2010-10-01,104.2,143.5770246764216,"GBC International Bank, Los Angeles, CA has agreed to assume all deposits excluding certain brokered deposits."
Wakulla Bank,"Crawfordville, FL",2010-10-01,424.1,584.3667578240921,"Centennial Bank, Conway, AR has agreed to assume all deposits excluding certain brokered deposits."
North County Bank,"Arlington, WA",2010-09-24,288.8,397.93708950624335,"Whidbey Island Bank, Coupeville, WA has agreed to assume all deposits excluding certain brokered deposits."
Haven Trust Bank Florida,"Ponte Vedra Beach, FL",2010-09-24,148.6,204.75571849247837,"First Southern Bank, Boca Raton, FL has agreed to assume all deposits excluding certain brokered deposits."
Maritime Savings Bank,"West Allis, WI",2010-09-17,350.5,482.95342753441236,"North Shore Bank, FSB, Brookfield, WI has agreed to assume all deposits excluding certain brokered deposits."
Bramble Savings Bank,"Milford, OH",2010-09-17,47.5,65.4501791951058,"Foundation Bank, Cincinnati, OH has agreed to assume all deposits excluding certain brokered deposits."
The Peoples Bank,"Winder, GA",2010-09-17,447.2,616.196213390554,"Community & Southern Bank, Carrollton, GA has agreed to assume all deposits excluding certain brokered deposits."
First Commerce Community Bank,"Douglasville, GA",2010-09-17,248.2,341.994410025795,"Community & Southern Bank, Carrollton, GA has agreed to assume all deposits excluding certain brokered deposits."
Bank of Ellijay,"Ellijay, GA",2010-09-17,168.8,232.5892683817655,"Community & Southern Bank, Carrollton, GA has agreed to assume all deposits."
ISN Bank,"Cherry Hill, NJ",2010-09-17,81.6,112.43651836464493,"New Century Bank, Phoenixville, PA has agreed to assume all deposits excluding certain brokered deposits."
Horizon Bank,"Bradenton, FL",2010-09-10,187.8,259.67033512770587,"Bank of the Ozarks, Little Rock, AR has agreed to assume all deposits excluding certain brokered deposits."
Sonoma Valley Bank,"Sonoma, CA",2010-08-20,337.1,466.10686885809184,"Westamerica Bank, San Rafael, CA has agreed to assume all deposits."
Los Padres Bank,"Solvang, CA",2010-08-20,870.4,1203.4987204214865,"Pacific Western Bank, San Diego, CA has agreed to assume all deposits."
Butte Community Bank,"Chico, CA",2010-08-20,498.8,689.6888347268354,"Rabobank, National Association, El Centro, CA has agreed to assume all deposits."
Pacific State Bank,"Stockton, CA",2010-08-20,312.1,431.53946535333864,"Rabobank, National Association, El Centro, CA has agreed to assume all deposits, excluding certain brokered deposits."
ShoreBank,"Chicago, IL",2010-08-20,2160,2986.6236628106744,"Urban Partnership Bank, Chicago, IL has agreed to assume all deposits, excluding certain brokered deposits."
Imperial Savings and Loan Association,"Martinsville, VA",2010-08-20,9.4,12.997343717787194,"River Community Bank, National Association (N.A), Martinsville, VA has agreed to assume all deposits."
Independent National Bank,"Ocala, FL",2010-08-20,156.2,215.9771370976978,"CenterState Bank of Florida, National Association, Winter Haven, FL has agreed to assume all deposits."
Community National Bank at Bartow,"Bartow, FL",2010-08-20,67.9,93.88506791890963,"CenterState Bank of Florida, National Association, Winter Haven, FL has agreed to assume all deposits, excluding certain brokered deposits."
Palos Bank and Trust Company,"Palos Heights, IL",2010-08-13,493.4,683.3242347067542,"First Midwest Bank, Itasca, IL has agreed to assume all deposits."
Ravenswood Bank,"Chicago, IL",2010-08-06,264.6,366.4523561074325,"Northbrook Bank and Trust Company, Northbrook, IL has agreed to assume all deposits, excluding certain brokered deposits."
LibertyBank,"Eugene, OR",2010-07-30,768.2,1063.9028721153802,"Home Federal Bank, Nampa, ID has agreed to assume all deposits."
The Cowlitz Bank,"Longview, WA",2010-07-30,529.3,733.0432051687981,"Heritage Bank, Olympia, WA has agreed to assume all deposits, excluding certain brokered deposits."
Coastal Community Bank,"Panama City Beach, FL",2010-07-30,372.9,516.4402252171639,"Centennial Bank, Conway, AR has agreed to assume all deposits."
Bayside Savings Bank,"Port Saint Joe, FL",2010-07-30,66.1,91.54384254989147,"Centennial Bank, Conway, AR has agreed to assume all deposits."
NorthWest Bank and Trust,"Acworth, GA",2010-07-30,167.7,232.2526837460938,"State Bank and Trust Company, Macon Georgia, has agreed to assume all deposits, excluding certain brokered deposits."
Home Valley Bank,"Cave Junction, OR",2010-07-23,251.8,348.7252580039739,"South Valley Bank & Trust, Klamath Falls, OR has agreed to assume all deposits."
SouthwestUSA Bank,"Las Vegas, NV",2010-07-23,214,296.3749214171978,"Plaza Bank, Irvine, CA has agreed to assume all deposits, excluding certain brokered deposits."
Community Security Bank,"New Prague, MN",2010-07-23,108,149.57239024793162,"Roundbank, Waseca, MN has agreed to assume all deposits."
Thunder Bank,"Sylvan Grove, KS",2010-07-23,32.6,45.14870298224603,"The Bennington State Bank, Salina, KS has agreed to assume all deposits, excluding certain brokered deposits."
Williamsburg First National Bank,"Kingstree, SC",2010-07-23,139.3,192.92068482904514,"First Citizens Bank and Trust Company, Inc., Columbia, SC has agreed to assume all deposits, excluding certain brokered deposits."
Crescent Bank and Trust Company,"Jasper, GA",2010-07-23,1010,1398.778834726027,"The Renasant Bank, Tupelo, MS has agreed to assume all deposits, excluding certain brokered deposits."
Sterling Bank,"Lantana, FL",2010-07-23,407.9,564.9127590938084,"IBERIABANK, Lafayette, LA has agreed to assume all deposits, excluding certain brokered deposits."
Mainstreet Savings Bank,"FSB, Hastings, MI",2010-07-16,97.4,135.08926357390686,"Commercial Bank, Alma, MI has agreed to assume all deposits."
Olde Cypress Community Bank,"Clewiston, FL",2010-07-16,168.7,233.97904276096594,"CenterState Bank of Florida, National Association, Winter Haven, FL has agreed to assume all deposits, excluding certain brokered deposits."
Turnberry Bank,"Aventura, FL",2010-07-16,263.9,366.01700880034923,"NAFH National Bank, Miami, FL has agreed to assume all deposits."
Metro Bank of Dade County,"Miami, FL",2010-07-16,442.3,613.4494997817146,"NAFH National Bank, Miami, FL has agreed to assume all deposits, excluding certain brokered deposits."
First National Bank of the South,"Spartanburg, SC",2010-07-16,682,945.9022357023047,"NAFH National Bank, Miami, FL has agreed to assume all deposits, excluding certain brokered deposits."
Woodlands Bank,"Bluffton, SC",2010-07-16,376.2,521.7718784035293,"Bank of the Ozarks, Little Rock, AR has agreed to assume all deposits, excluding certain brokered deposits."
Home National Bank,"Blackwell, OK",2010-07-09,644.5,893.8914822729257,"RCB Bank, Claremore, OK has agreed to assume all deposits."
USA Bank,"Port Chester, NY",2010-07-09,193.3,268.0980970106386,"The FDIC entered into a purchase and assumption agreement with New Century Bank (doing business as Customer's 1st Bank), Phoenixville, PA, to assume all of the deposits of USA Bank."
Ideal Federal Savings Bank,"Baltimore, MD",2010-07-09,6.3,8.73780657613566,The FDIC has approved the payout of the insured deposits of Ideal Federal Savings Bank.
Bay National Bank,"Baltimore, MD",2010-07-09,282.2,391.39825647388614,"To protect the depositors, the FDIC entered into a purchase and assumption agreement with Bay Bank, FSB, Lutherville, MD, to assume all of the deposits of Bay National Bank."
High Desert State Bank,"Albuquerque, NM",2010-06-25,80.3,111.37236001011006,"First American Bank, Artesia, NM, has agreed to assume all deposits."
First National Bank,"Savannah, GA",2010-06-25,252.5,350.20573975781804,"The Savannah Bank, National Association, Savannah, GA has agreed to assume all deposits, excluding certain brokered deposits."
Peninsula Bank,"Englewood, FL",2010-06-25,644.3,893.6140915879689,"Premier American Bank, Miami, FL has agreed to assume all deposits excluding certain brokered deposits."
Nevada Security Bank,"Reno, NV",2010-06-18,480.3,666.1537299234852,"Umpqua Bank, Roseburg, OR has agreed to assume all deposits, excluding certain brokered deposits."
Washington First International Bank,"Seattle, WA",2010-06-11,520.9,723.8145074332755,"East West Bank, Pasadena, CA has agreed to assume all deposits."
TierOne Bank,"Lincoln, NE",2010-06-04,2800,3890.7287786776183,"Great Western Bank, Sioux Falls, SD has agreed to assume all deposits."
Arcola Homestead Savings Bank,"Arcola, IL",2010-06-04,17,23.622281870542682,The FDIC has approved the payout of the insured deposits of Arcola Homestead Savings Bank.
First National Bank,"Rosedale, MS",2010-06-04,60.4,83.92857794004576,"Jefferson Bank, Fayette, MS has agreed to assume all deposits."
Sun West Bank,"Las Vegas, NV",2010-05-28,360.7,501.2092394532203,"City National Bank, Los Angeles, CA has agreed to assume all deposits, excluding certain brokered deposits."
Granite Community Bank,"NA, Granite Bay, CA",2010-05-28,102.9,142.98428261640248,"Tri Counties Bank, Chico, CA has agreed to assume all deposits."
Bank of Florida - Tampa Bay,"Tampa, FL",2010-05-28,245.2,340.71667733276854,"EverBank, Jacksonville, FL has agreed to assume all deposits, excluding certain brokered deposits."
Bank of Florida - Southwest,"Naples, FL",2010-05-28,640.9,890.560026519459,"EverBank, Jacksonville, FL has agreed to assume all deposits, excluding certain brokered deposits."
Bank of Florida - Southeast,"Fort Lauderdale, FL",2010-05-28,595.3,827.1967292667092,"EverBank, Jacksonville, FL has agreed to assume all deposits, excluding certain brokered deposits."
Pinehurst Bank,"St. Paul, MN",2010-05-21,61.2,85.04021473395366,"Coulee Bank, La Crosse, WI has agreed to assume all deposits."
Midwest Bank and Trust Company,"Elmwood Park, IL",2010-05-14,3170,4403.016061484652,"FirstMerit Bank, National Association, Akron, OH has agreed to assume all deposits."
Southwest Community Bank,"Springfield, MO",2010-05-14,96.6,134.17392793041554,"Simmons First National Bank, Pine Bluff, AR has agreed to assume all deposits."
New Liberty Bank,"Plymouth, MI",2010-05-14,109.1,151.53597864604905,"Bank of Ann Arbor, Ann Arbor, MI has agreed to assume all deposits, excluding certain brokered deposits."
Satilla Community Bank,"Saint Marys, GA",2010-05-14,135.7,188.4824225689171,"Ameris Bank, Moultrie, GA has agreed to assume all deposits, excluding certain brokered deposits."
1st Pacific Bank of California,"San Diego, CA",2010-05-07,335.8,466.4141304247779,"City National Bank, Los Angeles, CA has agreed to assume all deposits, excluding certain brokered deposits."
Towne Bank of Arizona,"Mesa, AZ",2010-05-07,120.2,166.95347968153158,"Commerce Bank of Arizona, Mesa, AZ has agreed to assume all deposits, excluding certain brokered deposits."
Access Bank,"Champlin, MN",2010-05-07,32,44.44684983202172,"PrinsBank, Prinsburg, MN has agreed to assume all deposits."
The Bank of Bonifay,"Bonifay, FL",2010-05-07,242.9,337.37936950618985,"First Federal Bank of Florida, Lake City, FL has agreed to assume all deposits."
Frontier Bank,"Everett, WA",2010-04-30,3500,4861.374200377376,"Union Bank, National Association, San Francisco, CA has agreed to assume all deposits, excluding certain brokered deposits."
BC National Banks,"Butler, MO",2010-04-30,67.2,93.33838464724562,"Community First Bank, Butler, MO has agreed to assume all deposits."
Champion Bank,"Creve Coeur, MO",2010-04-30,187.3,260.15296792305213,"BankLiberty, Liberty, PR has agreed to assume all deposits, excluding certain brokered deposits."
CF Bancorp,"Port Huron, MI",2010-04-30,1650,2291.7906944636197,"First Michigan Bank, Troy, MI has agreed to assume all deposits, excluding certain brokered deposits."
Westernbank Puerto Rico,"Mayaguez, PR",2010-04-30,11940,16584.230843573103,"Banco Popular de Puerto Rico, San Juan, PR has agreed to assume all deposits, excluding certain brokered deposits."
R-G Premier Bank of Puerto Rico,"Hato Rey, PR",2010-04-30,5920,8222.667218924018,"Scotiabank de Puerto Rico, San Juan, PR has agreed to assume all deposits, excluding certain brokered deposits."
Eurobank,"San Juan, PR",2010-04-30,2560,3555.7479865617374,"Oriental Bank and Trust, San Juan, PR has agreed to assume all deposits, excluding certain brokered deposits."
Wheatland Bank,"Naperville, IL",2010-04-23,437.2,607.2550858299967,"Wheaton Bank & Trust, Wheaton, IL has agreed to assume all deposits, excluding certain brokered deposits."
Peotone Bank and Trust Company,"Peotone, IL",2010-04-23,130.2,180.84312025403835,"First Midwest Bank, Itasca, IL has agreed to assume all deposits, excluding certain brokered deposits."
Lincoln Park Savings Bank,"Chicago, IL",2010-04-23,199.9,277.65391504441067,"Northbrook Bank and Trust Company, Northbrook, IL has agreed to assume all deposits."
New Century Bank,"Chicago, IL",2010-04-23,485.6,674.4809462009297,"MB Financial Bank, National Association, Chicago, IL has agreed to assume all deposits."
Citizens Bank & Trust Company of Chicago,"Chicago, IL",2010-04-23,77.3,107.36692162547746,"Republic Bank of Chicago, Oak Brook, IL has agreed to assume all deposits."
Broadway Bank,"Chicago, IL",2010-04-23,1200,1666.7568687008145,"MB Financial Bank, National Association, Chicago, IL has agreed to assume all deposits, excluding certain brokered deposits."
Amcore Bank,"National Association, Rockford, IL",2010-04-23,3800,5278.063417552579,"Harris National Association, Chicago, IL has agreed to assume all deposits, excluding certain brokered deposits."
City Bank,"Lynnwood, WA",2010-04-16,1130,1569.529384693267,"Whidbey Island Bank, Coupeville, WA has agreed to assume all deposits, excluding certain brokered deposits."
Tamalpais Bank,"San Rafael, CA",2010-04-16,628.9,873.5194956049518,"Union Bank, National Association, San Francisco, CA has agreed to assume all deposits, excluding certain brokered deposits."
Innovative Bank,"Oakland, CA",2010-04-16,268.9,373.4924349947075,"Center Bank, Los Angeles, CA has agreed to assume all deposits, excluding certain brokered deposits."
Butler Bank,"Lowell, MA",2010-04-16,268,372.2423673431819,"People's United Bank, Bridgeport, CT has agreed to assume all deposits."
Riverside National Bank of Florida,"Fort Pierce, FL",2010-04-16,3420,4750.257075797322,"TD Bank, National Association, Wilmington, DE has agreed to assume all deposits, excluding certain brokered deposits."
AmericanFirst Bank,"Clermont, FL",2010-04-16,90.5,125.70124718118643,"TD Bank, National Association, Wilmington, DE has agreed to assume all deposits, excluding certain brokered deposits."
First Federal Bank of North Florida,"Palatka, FL",2010-04-16,393.3,546.279563716692,"TD Bank, National Association, Wilmington, DE has agreed to assume all deposits."
Lakeside Community Bank,"Sterling Heights, MI",2010-04-16,53,73.61509503428597,The FDIC has approved the payout of the insured deposits of Lakeside Community Bank.
Beach First National Bank,"Myrtle Beach, SC",2010-04-09,585.1,812.2604600672485,"Bank of North Carolina, Thomasville, NC has agreed to assume all deposits, excluding certain brokered deposits."
Desert Hills Bank,"Phoenix, AZ",2010-03-26,496.6,689.4010331044191,"New York Community Bank, Westbury, NY has agreed to assume all deposits, excluding certain brokered deposits."
Unity National Bank,"Cartersville, GA",2010-03-26,292.2,405.64434529422317,"Bank of the Ozarks, Little Rock, AR has agreed to assume all deposits, excluding certain brokered deposits."
Key West Bank,"Key West, FL",2010-03-26,88,122.16530590654224,"Centennial Bank, Conway, AR has agreed to assume all deposits, excluding certain brokered deposits."
McIntosh Commercial Bank,"Carrollton, GA",2010-03-26,362.9,503.79306265322924,"CharterBank, West Point, GA has agreed to assume all deposits, excluding certain brokered deposits."
State Bank of Aurora,"Aurora, MN",2010-03-19,28.2,39.14842757459649,"Northern State Bank, Ashland, WI has agreed to assume all deposits."
First Lowndes Bank,"Fort Deposit, AL",2010-03-19,137.2,190.46681784519993,"First Citizens Bank, Luverne, AL has agreed to assume all deposits."
Bank of Hiawassee,"Hiawassee, GA",2010-03-19,377.8,524.477870130587,"Citizens South Bank, Gastonia, NC has agreed to assume all deposits, excluding certain brokered deposits."
Appalachian Community Bank,"Ellijay, GA",2010-03-19,1010,1402.124533700087,"Community & Southern Bank, Carrollton, GA has agreed to assume all deposits."
Advanta Bank Corp.,"Draper, UT",2010-03-19,1600,2221.18738011895,The FDIC has approved the payout of the insured deposits of Advanta Bank Corp.
Century Security Bank,"Duluth, GA",2010-03-19,96.5,133.96536386342416,"Bank of Upson, Thomaston, GA has agreed to assume all deposits, excluding certain brokered deposits."
American National Bank,"Parma, OH",2010-03-19,70.3,97.59342051397635,"The National Bank and Trust Company, Wilmington, OH has agreed to assume all deposits, excluding certain brokered deposits."
Statewide Bank,"Covington, LA",2010-03-12,243.2,337.6981481737082,"Home Bank, Lafayette, LA has agreed to assume all deposits."
Old Southern Bank,"Orlando, FL",2010-03-12,315.6,438.22999820568384,"Centennial Bank, Conway, AR has agreed to assume all deposits."
Park Avenue Bank,"New York, NY",2010-03-12,520.1,722.1908177020791,"Valley National Bank, Wayne, NJ has agreed to assume all deposits, excluding certain brokered deposits."
LibertyPointe Bank,"New York, NY",2010-03-11,209.7,291.1813391119515,"Valley National Bank, Wayne, NJ has agreed to assume all deposits."
Centennial Bank,"Ogden, UT",2010-03-05,215.2,298.8184271668668,The FDIC has approved the payout of the insured deposits of Centennial Bank.
Waterfield Bank,"Germantown, MD",2010-03-05,155.6,216.0601638808758,"To protect the insured depositors, the FDIC created Waterfield Bank, FA - a new depository institution chartered by the Office of Thrift Supervision (OTS) and insured by the FDIC - to take over the operations of Waterfield Bank. The FDIC will mail checks directly to customers with CDs and IRAs for the amount of their insured funds."
Bank of Illinois,"Normal, IL",2010-03-05,211.7,293.9584620410116,"Heartland Bank and Trust Company, Bloomington, IL has agreed to assume all deposits, excluding certain brokered deposits."
Sun American Bank,"Boca Raton, FL",2010-03-05,535.7,743.8523765487479,"First-Citizens Bank & Trust Company, Raleigh, NC has agreed to assume all deposits, excluding certain brokered deposits."
Rainier Pacific Bank,"Tacoma, WA",2010-02-26,717.8,996.70941923967,"Umpqua Bank, Roseburg, OR has agreed to assume all deposits, excluding certain brokered deposits."
Carson River Community Bank,"Carson City, NV",2010-02-26,51.1,70.95549083748557,"Heritage Bank of Nevada, Reno, NV has agreed to assume all deposits, excluding certain brokered deposits."
La Jolla Bank,"FSB, La Jolla, CA",2010-02-19,3600,4998.821272308181,"OneWest Bank, FSB, Pasadena, CA has agreed to assume all deposits."
George Washington Savings Bank,"Orland Park, IL",2010-02-19,412.8,573.1981725580047,"FirstMerit Bank, National Association, Akron, OH has agreed to assume all deposits."
The La Coste National Bank,"La Coste, TX",2010-02-19,53.9,74.8434629381697,"Community National Bank, Hondo, TX has agreed to assume all deposits."
Marco Community Bank,"Marco Island, FL",2010-02-19,119.6,166.071951157794,"Mutual of Omaha Bank, Omaha, NE has agreed to assume all deposits, excluding certain brokered deposits."
1st American State Bank of Minnesota,"Hancock, MN",2010-02-05,18.2,25.280192929892625,"Community Development Bank, FSB, Ogema, MN has agreed to assume all deposits."
American Marine Bank,"Bainbridge Island, WA",2010-01-29,373.2,518.3828572217543,"Columbia State Bank, Tacoma, WA has agreed to assume all deposits, excluding certain brokered deposits."
First Regional Bank,"Los Angeles, CA",2010-01-29,2180,3028.067065228897,"First-Citizens Bank & Trust Company, Raleigh, NC has agreed to assume all deposits, excluding certain brokered deposits."
Community Bank and Trust,"Cornelia, GA",2010-01-29,1210,1680.7161233609934,"SCBT National Association, Orangeburg, SC has agreed to assume all deposits, excluding certain brokered deposits."
Marshall Bank,"National Association, Hallock, MN",2010-01-29,59.9,83.20239321431694,"United Valley Bank, Cavalier, ND has agreed to assume all deposits."
Florida Community Bank,"Immokalee, FL",2010-01-29,875.5,1216.0884016549996,"Premier American Bank, National Association, Miami, FL has agreed to assume all deposits, excluding certain brokered deposits."
First National Bank of Georgia,"Carrollton, GA",2010-01-29,832.6,1156.49937546311,"Community and Southern Bank, Carrollton, GA has agreed to assume all deposits, excluding certain brokered deposits."
Columbia River Bank,"The Dalles, OR",2010-01-22,1100,1527.9237485099939,"Columbia State Bank, Tacoma, WA has agreed to assume all deposits."
Evergreen Bank,"Seattle, WA",2010-01-22,488.5,678.5370464973928,"Umpqua Bank, Roseburg, OR has agreed to assume all deposits, excluding certain brokered deposits."
Charter Bank,"Santa Fe, NM",2010-01-22,1200,1666.825907465448,"Charter Bank, Albuquerque, NM has agreed to assume all deposits, excluding certain brokered deposits."
Bank of Leeton,"Leeton, MO",2010-01-22,20.1,27.919333950046255,"Sunflower Bank, National Association, Salina, KS has agreed to assume all deposits."
Premier American Bank,"Miami, FL",2010-01-22,350.9,487.407675774688,"Premier American Bank, National Association, Miami, FL has agreed to assume all deposits, excluding certain brokered deposits."
